"3245";NULL;"2013028422";NULL;"САО";"Академика Сахарова пр-т (11)";"0";NULL;"1";"Постер 6х3";"http://foto.trk-media.ru/trk-gallery/center/0141 ц Б.jpg";"Академика Сахарова пр-т (11)";"161016.95";NULL;NULL;"НДС (18%)";"37.64805";"55.7739305555556";" ";"0.25";"24.78";"B";"3x6";"1";"2015-04-29 12:43:25";"2015-04-29 12:43:25";"190000";"1"
"3246";NULL;"1536с21";NULL;"САО";"Академическая Б. ул. 17 (40 м после пересечения ул. Космодемьянских Зои и Александра)";"0";NULL;"1";"Постер 6х3";"http://foto.trk-media.ru/trk-gallery/sever/1536 с А.JPG";"Академическая Б. ул. 17 (40 м после пересечения ул. Космодемьянских Зои и Александра)";"169491.53";NULL;NULL;"НДС (18%)";"37.52916667";"55.82497222";" ";"0.28";"28.74";"A";"3x6";"1";"2015-04-29 12:43:25";"2015-04-29 12:43:25";"200000";"1"
"3247";NULL;"1536с22";NULL;"САО";"Академическая Б. ул. 17 (40 м после пересечения ул. Космодемьянских Зои и Александра)";"0";NULL;"1";"Постер 6х3";"http://foto.trk-media.ru/trk-gallery/sever/1536 с Б.JPG";"Академическая Б. ул. 17 (40 м после пересечения ул. Космодемьянских Зои и Александра)";"161016.95";NULL;NULL;"НДС (18%)";"37.52916667";"55.82497222";" ";"0.26";"26.54";"B";"3x6";"1";"2015-04-29 12:43:25";"2015-04-29 12:43:25";"190000";"1"
"3248";NULL;"1402733821";NULL;"САО";"Академическая Б. ул. 24 к.2 (-)";"0";NULL;"1";"Постер 6х3";"http://foto.trk-media.ru/trk-gallery/sever/1511 с А.jpg";"Академическая Б. ул. 24 к.2 (-)";"169491.53";NULL;NULL;"НДС (18%)";"37.5295";"55.82477778";" ";"0.27";"27.7";"A";"3x6";"1";"2015-04-29 12:43:25";"2015-04-29 12:43:25";"200000";"1"
"3249";NULL;"1402733822";NULL;"САО";"Академическая Б. ул. 24 к.2 (-)";"0";NULL;"1";"Постер 6х3";"http://foto.trk-media.ru/trk-gallery/sever/1511 с Б.jpg";"Академическая Б. ул. 24 к.2 (-)";"161016.95";NULL;NULL;"НДС (18%)";"37.5295";"55.82477778";" ";"0.24";"24.13";"B";"3x6";"1";"2015-04-29 12:43:25";"2015-04-29 12:43:25";"190000";"1"
"3250";NULL;"1513с21";NULL;"САО";"Академическая Б. ул. 26 (-)";"0";NULL;"1";"Постер 6х3";"http://foto.trk-media.ru/trk-gallery/sever/1513 с А.JPG";"Академическая Б. ул. 26 (-)";"169491.53";NULL;NULL;"НДС (18%)";"37.53016667";"55.82652778";" ";"0.46";"46.42";"A";"3x6";"1";"2015-04-29 12:43:25";"2015-04-29 12:43:25";"200000";"1"
"3251";NULL;"1513с22";NULL;"САО";"Академическая Б. ул. 26 (-)";"0";NULL;"1";"Постер 6х3";"http://foto.trk-media.ru/trk-gallery/sever/1513 с Б.JPG";"Академическая Б. ул. 26 (-)";"161016.95";NULL;NULL;"НДС (18%)";"37.53016667";"55.82652778";" ";"0.4";"40.77";"B";"3x6";"1";"2015-04-29 12:43:25";"2015-04-29 12:43:25";"190000";"1"
"3252";NULL;"1544с21";NULL;"САО";"Академическая Б. ул. 37 к.2 (-)";"0";NULL;"1";"Постер 6х3";"http://foto.trk-media.ru/trk-gallery/sever/1544 с А.jpg";"Академическая Б. ул. 37 к.2 (-)";"169491.53";NULL;NULL;"НДС (18%)";"37.53211111";"55.83191667";" ";"0.41";"41.05";"A";"3x6";"1";"2015-04-29 12:43:25";"2015-04-29 12:43:25";"200000";"1"
"3253";NULL;"1544с22";NULL;"САО";"Академическая Б. ул. 37 к.2 (-)";"0";NULL;"1";"Постер 6х3";"http://foto.trk-media.ru/trk-gallery/sever/1544 с Б.jpg";"Академическая Б. ул. 37 к.2 (-)";"161016.95";NULL;NULL;"НДС (18%)";"37.53211111";"55.83191667";" ";"0.36";"36.27";"B";"3x6";"1";"2015-04-29 12:43:25";"2015-04-29 12:43:25";"190000";"1"
"3254";NULL;"1530с21";NULL;"САО";"Академическая Б. ул. 55 (-)";"0";NULL;"1";"Постер 6х3";"http://foto.trk-media.ru/trk-gallery/sever/1530 с А.jpg";"Академическая Б. ул. 55 (-)";"169491.53";NULL;NULL;"НДС (18%)";"37.54286111";"55.83825";" ";"0.51";"51.75";"A";"3x6";"1";"2015-04-29 12:43:25";"2015-04-29 12:43:25";"200000";"1"
"3255";NULL;"1530с22";NULL;"САО";"Академическая Б. ул. 55 (-)";"0";NULL;"1";"Постер 6х3";"http://foto.trk-media.ru/trk-gallery/sever/1530 с Б.jpg";"Академическая Б. ул. 55 (-)";"161016.95";NULL;NULL;"НДС (18%)";"37.54286111";"55.83825";" ";"0.44";"44.38";"B";"3x6";"1";"2015-04-29 12:43:25";"2015-04-29 12:43:25";"190000";"1"
"3256";NULL;NULL;NULL;"САО";"Академическая Б. ул. 59/1 к.А (напротив)";"0";NULL;"1";"Постер 6х3";"http://foto.trk-media.ru/trk-gallery/sever/1538 с А.JPG";"Академическая Б. ул. 59/1 к.А (напротив)";"169491.53";NULL;NULL;"НДС (18%)";"37.54477778";"55.83880556";" ";"0";"0";"A";"3x6";"1";"2015-04-29 12:43:25";"2015-04-29 12:43:25";"200000";"1"
"3257";NULL;NULL;NULL;"САО";"Академическая Б. ул. 59/1 к.А (напротив)";"0";NULL;"1";"Постер 6х3";"http://foto.trk-media.ru/trk-gallery/sever/1538 с Б.jpg";"Академическая Б. ул. 59/1 к.А (напротив)";"161016.95";NULL;NULL;"НДС (18%)";"37.54477778";"55.83880556";" ";"0";"0";"B";"3x6";"1";"2015-04-29 12:43:25";"2015-04-29 12:43:25";"190000";"1"
"3258";NULL;"1105603621";NULL;"САО";"Академическая Б. ул. 59/1 к.А (напротив, пересечение с 4-м Новомихалковским проездом)";"0";NULL;"1";"Постер 6х3";"http://foto.trk-media.ru/trk-gallery/sever/1539 с А.JPG";"Академическая Б. ул. 59/1 к.А (напротив, пересечение с 4-м Новомихалковским проездом)";"169491.53";NULL;NULL;"НДС (18%)";"37.54597222";"55.83927778";" ";"0.49";"49.16";"A";"3x6";"1";"2015-04-29 12:43:25";"2015-04-29 12:43:25";"200000";"1"
